7_days,14_days,target
5.191428571428572,4.333571428571429,7.0
5.048571428571429,4.762142857142857,4.0
4.62,4.333571428571429,4.67
4.048571428571429,4.262142857142857,6.0
4.381428571428572,4.285714285714286,4.33
4.1899999999999995,4.357142857142857,4.34
3.6185714285714283,4.5,6.0
4.047142857142857,4.619285714285715,5.33
3.761428571428571,4.405,3.02
4.142857142857143,4.381428571428572,1.0
4.857142857142857,4.452857142857143,4.33
4.857142857142857,4.619285714285715,7.0
4.62,4.405,5.0
5.191428571428572,4.405,1.33
4.952857142857143,4.5,3.0
4.812857142857142,4.2871428571428565,3.33
4.288571428571428,4.215714285714285,2.66
4.05,4.453571428571428,3.33
4.4314285714285715,4.644285714285714,4.0
4.525714285714286,4.572857142857143,5.0
3.858571428571428,4.525,10.0
3.525714285714286,4.239285714285715,9.0
3.57,4.191428571428571,4.33
3.807142857142857,4.047857142857143,4.0
3.664285714285714,3.857142857142857,1.0
3.2357142857142853,3.8335714285714286,0.0
3.2357142857142853,3.880714285714286,7.34
4.474285714285714,4.166428571428571,7.34
5.331428571428572,4.428571428571429,3.33
5.474285714285713,4.522142857142858,7.0
5.6657142857142855,4.736428571428571,6.0
5.332857142857143,4.498571428571429,7.0
4.761428571428572,3.9985714285714287,1.0
5.095714285714286,4.165714285714286,7.0
4.715714285714286,4.595,5.0
3.905714285714286,4.618571428571428,5.0
4.2871428571428565,4.880714285714285,3.0
4.572857142857143,5.119285714285715,7.0
5.43,5.381428571428572,6.34
5.572857142857143,5.167142857142857,3.34
5.524285714285715,5.3100000000000005,4.0
5.1899999999999995,4.952857142857143,5.34
5.428571428571429,4.667142857142857,3.34
4.857142857142857,4.5721428571428575,3.0
5.0,4.786428571428572,4.0
4.905714285714287,5.167857142857143,4.34
5.24,5.406428571428571,1.0
4.811428571428571,5.167857142857143,6.68
4.86,5.0249999999999995,6.0
4.622857142857143,5.025714285714286,6.34
4.622857142857143,4.74,2.31
4.194285714285714,4.597142857142857,4.34
3.9085714285714284,4.4071428571428575,4.0
3.5742857142857147,4.4071428571428575,2.68
3.9571428571428577,4.384285714285714,8.68
4.051428571428572,4.4557142857142855,8.0
4.4799999999999995,4.551428571428572,4.0
4.381428571428572,4.502142857142857,3.0
4.430000000000001,4.312142857142858,6.0
4.381428571428572,4.1450000000000005,3.34
4.621428571428572,4.097857142857143,6.34
4.9071428571428575,4.432142857142857,5.68
5.192857142857143,4.622142857142856,4.0
4.8585714285714285,4.6692857142857145,2.34
